gvkey,iid,cik,first_date,last_date
007409,01,66479,1994-03-28,2010-05-12
061679,01,775473,1995-11-14,2007-08-07
160175,01,1145750,2004-03-22,2004-05-10
132988,01,1144686,2001-08-13,2012-03-01
118223,01,1073349,1998-11-13,2022-05-10
027923,02,1080280,1999-09-15,2005-03-16
001926,01,8947,1995-07-06,2025-07-09
160272,01,1182129,2004-04-21,2014-10-30
064641,01,830052,1997-05-20,2015-11-16
111534,08,1050446,1998-06-11,2025-08-05
004605,03,34903,1994-03-18,2021-11-04
003265,01,310433,1994-05-13,2007-03-01
064606,01,1031798,1997-04-14,2008-03-28
113491,09,1061322,1998-05-22,2011-08-04
019713,03,883948,1996-06-21,2025-08-05
153128,02,1210708,2003-03-14,2025-08-08
035590,01,1137774,2001-04-25,2025-05-01
013124,03,780053,1994-05-13,2011-05-05
029376,01,912240,1996-05-15,2006-05-15
015598,06,769218,2000-04-19,2025-08-21
019625,02W,866213,2002-12-16,2012-04-26
015598,04W,769218,2000-04-19,2025-08-21
137435,92W,1110646,2002-11-06,2025-04-15
004439,01,717826,2003-03-28,2015-10-23
137435,94W,1110646,2002-11-06,2025-04-15
029099,08,910606,1996-05-08,2020-02-13
017534,02,736772,1995-05-15,2025-08-07
006742,01,59558,1994-03-30,2025-05-08
063815,01,1011699,1996-11-27,2005-11-09
065235,01,909108,1996-10-11,2025-04-29
064675,01,1029825,1997-06-09,2010-11-12
160725,01,1283683,2004-03-19,2007-05-10
007203,01,216539,1994-03-25,2013-11-06
065287,01,1043186,1998-06-29,2007-05-14
143909,01,1211583,2004-09-17,2025-08-14
151222,01,834408,2000-10-18,2008-08-20
031717,91W,933267,2002-11-20,2024-05-23
061976,01,899394,1996-12-24,2025-05-16
149177,01,1142417,2002-05-31,2025-08-08
160888,01,1280452,2004-07-13,2025-08-04
064628,03,703904,1996-08-06,2005-11-08
136904,01,1100663,2001-06-28,2025-07-02
002504,03,746838,1994-03-29,2025-07-31
009771,02,91142,1994-03-23,2025-07-24
160706,01,1298946,2005-03-01,2025-08-08
005338,02,43920,1994-03-09,2025-08-28
008440,05,77159,1994-05-13,2023-05-09
024287,03,874501,1996-05-15,2025-08-07
138267,01,930667,2001-04-30,2025-05-05
015613,91W,1163653,2002-07-26,2025-06-23
109926,08,1053532,1998-06-08,2018-11-01
104831,03W,875809,1998-03-13,2012-02-24
031717,01W,933267,2002-11-20,2024-05-23
201336,01,1034957,2002-11-20,2025-03-17
163672,01,1127393,2005-03-31,2007-08-13
064910,02W,1039610,2003-07-03,2006-11-13
031593,01,37049,1996-08-13,2015-11-12
002578,01,320121,1995-05-03,2025-08-11
022177,01,1002902,1996-09-26,2009-05-12
124254,01,1090061,1999-07-09,2020-03-30
156293,01,1262175,2003-09-12,2008-09-15
004029,07,715957,1995-03-08,2025-08-01
145512,01,1141399,2001-10-03,2008-08-04
012142,01,777676,1994-01-11,2006-01-05
029953,02,918765,1996-08-02,2006-11-13
201336,90,1034957,2002-11-20,2025-03-17
101718,05W,1089642,2002-10-25,2007-04-25
006494,90,56594,1999-09-14,2014-02-13
102696,07W,1032975,1997-06-30,2025-05-23
011687,08,109380,1994-03-29,2025-08-07
011687,07,109380,1994-03-29,2025-08-07
166570,01,1178711,2006-02-10,2008-12-30
163987,01,1205727,2005-05-16,2014-05-08
063186,05W,1015820,2002-04-02,2025-08-21
023291,01,811240,1996-09-04,2024-11-07
029028,90W,909832,1994-01-05,2025-06-05
012277,02,78536,1995-08-09,2010-11-04
148772,01,1117171,2000-07-10,2025-08-18
010190,01,95521,1994-01-18,2018-10-15
161877,01,1286862,2004-05-14,2007-05-10
066929,01,1290677,2004-05-18,2025-08-11
063645,02W,1100962,2000-06-14,2014-03-03
163975,01W,1178336,2005-04-28,2012-03-05
031887,90W,943819,1996-05-14,2025-08-08
012053,01W,790070,1994-03-24,2016-08-08
149089,04,1174527,2002-06-05,2011-08-15
019151,14W,948642,2004-06-10,2019-02-22
147579,90W,1065280,2000-04-18,2025-07-18
029241,01,912093,1996-06-12,2025-08-11
142248,90,1129137,2001-01-22,2025-05-14
061340,01,1037388,1997-04-16,2010-11-08
141913,01,1123360,2000-10-27,2025-08-06
009937,01,92769,1995-03-29,2011-02-10
031707,01,935724,1996-08-13,2011-08-04
